Invoicedate,Distributor,GroupId,Type,Province,MatNo,Material Name,New_Volume(L),Points,quarter,Churn,Region
2023-02-14,A,ERW_AI8N2021070006,Retails,Pathum Thani,123150,"MOBIL MULTIPURPOSE ATF, 208LT DR",7168,1,1,Yes,Central
2023-04-20,D,ERW_DBG72020110082,Reseller,Songkhla,124213,MOBIL ATF 220  D 208LT,912,1,2,Yes,Southern
2023-10-19,D,ERW_DBG72020110082,Reseller,Songkhla,124216,MOBIL ATF 220 P1/20LT,7340,1,4,No,Southern
2023-07-25,D,ERW_DBG72020110082,Reseller,Songkhla,124216,MOBIL ATF 220 P1/20LT,1640,1,3,No,Southern
2023-10-12,D,ERW_DBG72020110082,Reseller,Songkhla,124216,MOBIL ATF 220 P1/20LT,7080,1,4,No,Southern
2023-10-12,D,ERW_DBG72020110082,Reseller,Songkhla,124216,MOBIL ATF 220 P1/20LT,6480,1,4,No,Southern
2023-03-07,C,ERW_C08P2020090116,Retails,Sukhothai,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,8360,1,1,Yes,Central
2023-02-15,C,ERW_C08P2020090113,Reseller,Sukhothai,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,5560,1,1,Yes,Central
2023-01-18,C,ERW_C08P2020090113,Reseller,Sukhothai,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,3780,1,1,Yes,Central
2023-02-03,C,ERW_C08P2020090025,Reseller,Kamphaeng Phet,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,1860,1,1,Yes,Central
2023-02-07,C,ERW_C08P2020090193,Retails,Sukhothai,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,8720,1,1,Yes,Central
2023-03-21,C,ERW_C08P2020090197,Retails,Chon Buri,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,2160,1,1,Yes,Eastern
2023-01-27,C,ERW_C08P2020090127,Reseller,Phrae,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,4000,1,1,Yes,Northern
2023-02-15,C,ERW_C08P2020090002,Retails,Kamphaeng Phet,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,564,1,1,Yes,Central
2023-03-02,C,ERW_C08P2020090138,Retails,Lamphun,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,4572,1,1,Yes,Northern
2023-01-26,C,ERW_C08P2020090144,Retails,Chiang Mai,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,1812,1,1,Yes,Northern
2023-05-11,C,ERW_C08P2020090222,Retails,Nakhon Sawan,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,1308,1,2,Yes,Central
2023-05-17,C,ERW_C08P2020090212,Retails,Nakhon Sawan,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,1764,1,2,Yes,Central
2023-02-07,C,ERW_C08P2020090212,Retails,Nakhon Sawan,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,2892,1,1,Yes,Central
2023-02-02,C,ERW_CGAA2021010004,Retails,Phitsanulok,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,2544,1,1,Yes,Central
2023-01-06,C,ERW_CRGG2021020001,Reseller,Kamphaeng Phet,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,3672,1,1,Yes,Central
2023-01-11,C,ERW_C08P2020090025,Reseller,Kamphaeng Phet,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,234,1,1,Yes,Central
2023-03-14,C,ERW_C08P2020090049,Retails,Nakhon Sawan,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,34,1,1,Yes,Central
2023-08-05,C,ERW_CA7Y2022040001,Retails,Phitsanulok,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,2247,1,3,No,Central
2023-02-18,C,ERW_C08P2020090172,Retails,Chiang Rai,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,427,1,1,Yes,Northern
2023-02-07,C,ERW_C08P2020090172,Retails,Chiang Rai,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,414,1,1,Yes,Northern
2023-07-29,C,ERW_C08P2020090176,Retails,Chiang Rai,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,410,1,3,Yes,Northern
2023-05-05,C,ERW_CA7Y2022040001,Retails,Phitsanulok,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,43,1,2,No,Central
2023-02-15,A,ERW_AMBP2020110420,Retails,Chon Buri,133405,MOBIL DELVAC SUPER 20W-50 12X1L/CAR,5724,1,1,Yes,Eastern
2023-12-22,B,ERW_B5CM2020120012,Reseller,Kanchanaburi,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,6460,1,4,No,Western
2023-11-17,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,4540,1,4,Yes,Central
2023-06-15,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,6720,1,2,Yes,Central
2023-08-11,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,6440,1,3,Yes,Central
2023-09-26,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,3240,1,3,Yes,Central
2023-01-25,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,740,1,1,Yes,Central
2023-03-16,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,4080,1,1,Yes,Central
2023-03-04,B,ERW_BM2U2020110126,Retails,Samut Sakhon,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,300,1,1,Yes,Central
2023-05-11,B,ERW_BXEO2021030002,Retails,Nakhon Pathom,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,5720,1,2,Yes,Central
2023-02-09,A,ERW_AMBP2020110156,Retails,Chon Buri,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,6720,1,1,No,Eastern
2023-08-29,C,ERW_C08P2020090159,Retails,Chiang Rai,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,4740,1,3,Yes,Northern
2023-12-11,A,ERW_AMBP2020110156,Retails,Chon Buri,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,7400,1,4,No,Eastern
2023-11-29,A,ERW_AMBP2020110156,Retails,Chon Buri,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,7360,1,4,No,Eastern
2023-05-22,A,ERW_AMBP2020110156,Retails,Chon Buri,134345,MOBIL HYDRAULIC 10W 4X5L/CAR,300,1,2,No,Eastern
2023-03-01,B,ERW_BM2U2020110093,Retails,Kanchanaburi,134346,MOBIL HYDRAULIC 10W 1/18 LT,5508,1,1,Yes,Western
2023-07-13,B,ERW_BM2U2020110126,Retails,Samut Sakhon,134346,MOBIL HYDRAULIC 10W 1/18 LT,6102,1,3,No,Central
2023-06-14,B,ERW_BM2U2020110126,Retails,Samut Sakhon,134346,MOBIL HYDRAULIC 10W 1/18 LT,1998,1,2,No,Central
2023-02-09,A,ERW_AMBP2020110207,Reseller,Chachoengsao,134346,MOBIL HYDRAULIC 10W 1/18 LT,7434,1,1,Yes,Eastern
2023-12-20,A,ERW_AMBP2020110196,Retails,Rayong,134346,MOBIL HYDRAULIC 10W 1/18 LT,8316,1,4,No,Eastern
2023-07-24,A,ERW_AMBP2020110196,Retails,Rayong,134346,MOBIL HYDRAULIC 10W 1/18 LT,3078,1,3,No,Eastern
2023-08-11,A,ERW_AMBP2020110156,Retails,Chon Buri,134346,MOBIL HYDRAULIC 10W 1/18 LT,3760,1,3,Yes,Eastern
2023-08-25,A,ERW_AMBP2020110156,Retails,Chon Buri,134346,MOBIL HYDRAULIC 10W 1/18 LT,3546,1,3,Yes,Eastern
2023-11-13,A,ERW_AMBP2020110156,Retails,Chon Buri,134346,MOBIL HYDRAULIC 10W 1/18 LT,6426,1,4,Yes,Eastern
2023-05-24,A,ERW_AMBP2020110156,Retails,Chon Buri,134346,MOBIL HYDRAULIC 10W 1/18 LT,6858,1,2,Yes,Eastern
2023-04-07,A,ERW_AMBP2020110156,Retails,Chon Buri,134346,MOBIL HYDRAULIC 10W 1/18 LT,1116,1,2,Yes,Eastern
2023-08-23,A,ERW_AMBP2020110156,Retails,Chon Buri,134346,MOBIL HYDRAULIC 10W 1/18 LT,2178,1,3,Yes,Eastern
2023-11-06,A,ERW_AMBP2020110529,Retails,Chon Buri,134346,MOBIL HYDRAULIC 10W 1/18 LT,4896,1,4,No,Eastern
2023-11-06,A,ERW_AMBP2020110207,Reseller,Chachoengsao,134346,MOBIL HYDRAULIC 10W 1/18 LT,4086,1,4,Yes,Eastern
2023-01-05,A,ERW_AMBP2020110156,Retails,Chon Buri,134346,MOBIL HYDRAULIC 10W 1/18 LT,774,1,1,Yes,Eastern
2023-01-18,A,ERW_AMBP2020110207,Reseller,Chachoengsao,134346,MOBIL HYDRAULIC 10W 1/18 LT,3330,1,1,Yes,Eastern
2023-01-17,A,ERW_AMBP2020110156,Retails,Chon Buri,134346,MOBIL HYDRAULIC 10W 1/18 LT,7776,1,1,Yes,Eastern
2023-05-16,B,ERW_BM2U2020110116,Retails,Samut Sakhon,134348,M-BRAKE FLUID DOT4 12X0.5L,447,1,2,Yes,Central
2023-04-08,B,ERW_BM2U2020110122,Retails,Nakhon Pathom,134348,M-BRAKE FLUID DOT4 12X0.5L,451,1,2,Yes,Central
2023-10-09,B,ERW_BM2U2020110149,Retails,Nakhon Pathom,134348,M-BRAKE FLUID DOT4 12X0.5L,129,1,4,Yes,Central
2023-03-25,B,ERW_BM2U2020110149,Retails,Nakhon Pathom,134348,M-BRAKE FLUID DOT4 12X0.5L,185,1,1,Yes,Central
2023-05-05,B,ERW_BM2U2020110153,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,46,1,2,Yes,Central
2023-12-25,C,ERW_C08P2020090138,Retails,Lamphun,134348,M-BRAKE FLUID DOT4 12X0.5L,5124,1,4,No,Northern
2023-07-18,C,ERW_C08P2020090138,Retails,Lamphun,134348,M-BRAKE FLUID DOT4 12X0.5L,1500,1,3,No,Northern
2023-03-21,C,ERW_C08P2020090138,Retails,Lamphun,134348,M-BRAKE FLUID DOT4 12X0.5L,5304,1,1,No,Northern
2023-01-10,C,ERW_C08P2020090138,Retails,Lamphun,134348,M-BRAKE FLUID DOT4 12X0.5L,24,1,1,No,Northern
2023-05-05,C,ERW_CA7Y2022040001,Retails,Phitsanulok,134348,M-BRAKE FLUID DOT4 12X0.5L,2700,1,2,Yes,Central
2023-02-05,C,ERW_CA7Y2022040001,Retails,Phitsanulok,134348,M-BRAKE FLUID DOT4 12X0.5L,1164,1,1,Yes,Central
