GroupId,Province,Material Name,month,cur_volume,next_month,next_volume,volume_diff,Churn
ERW_A1DS2023040002,Bangkok,M SUP AIO PROTECTION TBS 5W-30 12X1L/CAR,7,2328,11.0,5532.0,3204.0,Yes
ERW_A1DS2023040002,Bangkok,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,5,12544,9.0,8120.0,-4424.0,Yes
ERW_A1DS2023040002,Bangkok,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,9,8120,11.0,5040.0,-3080.0,Yes
ERW_A1DS2023040002,Bangkok,M SUP AIO Protection 5W-30 4x4+1L/CAR,5,7160,10.0,4580.0,-2580.0,Yes
ERW_A1DS2023040005,Udon Thani,M DEL LEGEND CH-4 15W-40 H.D. CTN4X7L:TH,11,16436,12.0,5908.0,-10528.0,Yes
ERW_A1DS2023040005,Udon Thani,"M DEL LEGEND CH-4 15W-40 H.D.,1X12L CTN",6,7800,10.0,10348.0,2548.0,No
ERW_A1DS2023040005,Udon Thani,M DEL MODERN 15W-40 S DEFENS 20L/PAIL,9,6280,10.0,8640.0,2360.0,No
ERW_A1DS2023040005,Udon Thani,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,6,7196,9.0,12684.0,5488.0,Yes
ERW_A1DS2023040005,Udon Thani,M SUP AIO PROTECTION TBS 5W-30 12X1L/CAR,3,3440,10.0,4000.0,560.0,Yes
ERW_A1DS2023040005,Udon Thani,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,3,1736,7.0,6636.0,4900.0,Yes
ERW_A1DS2023040005,Udon Thani,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,7,6636,10.0,10864.0,4228.0,No
ERW_A1DS2023040005,Udon Thani,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,10,10864,12.0,7840.0,-3024.0,Yes
ERW_A1DS2023040005,Udon Thani,M SUP Friction Fighter 10W-40 4x4+1L/CAR,4,5360,10.0,3000.0,-2360.0,Yes
ERW_A2JJ2023070001,Buri Ram,M DEL LEG 20W-50 STD DEFENSE CTN 12X1LTH,6,4140,8.0,3756.0,-384.0,Yes
ERW_A2JJ2023070001,Buri Ram,M SUP Frict Fighter TBS 10W-30 12X1L/CAR,8,432,11.0,2214.0,1782.0,Yes
ERW_A2JJ2023070001,Buri Ram,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,8,3808,11.0,12124.0,8316.0,No
ERW_A2JJ2023070001,Buri Ram,MOBIL DELVAC SUPER 20W-50 4X6L/CAR,6,7938,8.0,4716.0,-3222.0,Yes
ERW_A2JJ2023070003,Bangkok,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,6,11312,9.0,7392.0,-3920.0,Yes
ERW_A2JJ2023070003,Bangkok,M DEL MODERN 10W-30 S DEFENS V2 4X7L/CAR,6,3388,9.0,644.0,-2744.0,Yes
ERW_A3GG2023090004,Khon Kaen,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,8,9688,9.0,13552.0,3864.0,No
